[2025-02-13 21:02:20,052] 14 root - INFO - Data ingestion started
[2025-02-13 21:02:21,575] 66 root - INFO - Performed data split into training and testing sets.
[2025-02-13 21:02:21,575] 72 root - INFO - Exporting training data and test data
[2025-02-13 21:02:21,714] 77 root - INFO - Exported training data and test data
[2025-02-13 21:02:21,727] 16 root - INFO - Data ingestion completed
[2025-02-13 21:02:21,734] 20 root - INFO - Data validation started
[2025-02-13 21:02:21,829] 32 root - INFO - Required number of columns: 21
[2025-02-13 21:02:21,829] 33 root - INFO - Actual number of columns: 22
[2025-02-13 21:02:21,840] 32 root - INFO - Required number of columns: 21
[2025-02-13 21:02:21,840] 33 root - INFO - Actual number of columns: 22
[2025-02-13 21:02:21,840] 44 root - INFO - Required number of numerical columns: 3
[2025-02-13 21:02:21,840] 45 root - INFO - Actual number of numerical columns: 3
[2025-02-13 21:02:21,844] 44 root - INFO - Required number of numerical columns: 3
[2025-02-13 21:02:21,844] 45 root - INFO - Actual number of numerical columns: 3
[2025-02-13 21:02:22,605] 22 root - INFO - Data validation completed
[2025-02-13 21:02:22,611] 24 root - INFO - Data transformation started
[2025-02-13 21:02:22,611] 59 root - INFO - Initiating data transformation...
[2025-02-13 21:02:22,611] 61 root - INFO - Starting data transformation
